,average_salary,Bonus,Profit Sharing,10%,MEDIAN,90%,IndiaNIC Infotech Ltd,Neosoft,Xento Systems,Software Engineer,Senior Software Engineer,Software Developer,Sr. Software Engineer / Developer / Programmer,Web Developer,Software Engineer / Developer / Programmer,"Team Leader, IT",Associate Software Engineer,.NET Software Developer / Programmer,career_paths,PHP_salary,MySQL_salary,JavaScript_salary,jQuery_salary,HTML5_salary,1yr,1-4yrs,5-9yrs,10-19yrs,Jio,Solution IT,Tata Consultancy Services Limited,Cognizant,Java Developer,Android Software Development Kit (SDK)_salary,Java_salary,Mobile applications development_salary,Android Operating System Development_salary,SQLite_salary,Accenture Technology Solutions,Amazon.com Inc,IBM India Private Limited,Accenture,InfoSys Limited,Wipro Technologies Ltd.,Linux System Administrator,"Systems Engineer, IT",Lead Software Engineer,Development Operations (DevOps)_salary,Amazon Web Services (AWS)_salary,Linux_salary,Jenkins_salary,Automation Scripting_salary,Commission,"Vmware, Inc.",ZOHO Corporation,HP Inc.,HCL Technologies Ltd.,Cybage,Convergys Corporation,Concentrix Corporation,Information Technology (IT) Consultant,Information Technology (IT) Manager,"Project Manager, Information Technology (IT)",Troubleshooting_salary,Customer Service_salary,Network Support_salary,Systems Troubleshooting_salary,Microsoft Office_salary,20+yrs,"Bangalore, Karnataka_percent","Hyderabad, Andhra Pradesh_percent","Chennai, Tamil Nadu_percent","Pune, Maharashtra_percent","Gurgaon, Haryana_percent","New Delhi, Delhi_percent","Mumbai, Maharashtra_percent",Experienced_percent,Mid Career_percent,Late Career_percent,Early Career_percent,Entry Level_percent,Linux_percent,SQL_percent,Information Technology (IT) Support_percent,Troubleshooting_percent,Customer Service_percent,Systems Troubleshooting_percent,Windows Support_percent,Network Support_percent,Microsoft Office_percent,Windows Operating System General Use_percent,Entry Level,Early Career,Mid Career,Experienced,Late Career,Male,Female,Medical,Dental,Vision,None,Job Title,TCSI,Infosys International,Cerner Corporation,CGI Group Inc.,International Business Machines (IBM) Corp.,System Administration_salary,SQL_salary,Windows Operating System General Use_salary,Capgemini,Cognizant Technology Solutions Corp,Techmahindra Ltd,Software Architecture_salary,Java/J2EE_salary,.NET_salary,Cloud Computing_salary,"Noida, Uttar Pradesh_percent",Cloud Computing_percent,Service Oriented Architecture (SOA)_percent,Software Architecture_percent,Java_percent,Java/J2EE_percent,RESTful Web Services_percent,.NET_percent,C# Programming Language_percent,Spring_percent,ASP.NET Framework_percent,Prefer to self-define,J.P. Morgan Chase & Co. (JPMCC),C# Programming Language_salary,Sapient Corporation,Freshdesk,PHP Developer,Web Designer,UI Developer,Cascading Style Sheets (CSS)_salary,Angular.js_salary,React.js_salary,Capgemini Consulting,"Project Manager, (Unspecified Type / General)",Operations Manager,Project Management_salary,Agile Software Development_salary,Project Coordinating_salary,Information Technology Infrastructure Library (ITIL)_salary,Microsoft Excel_salary,Agile Software Development_percent,Microsoft Project_percent,Project Management_percent,Project Coordinating_percent,Business Analysis_percent,Information Technology Infrastructure Library (ITIL)_percent,Microsoft Excel_percent,EY (Ernst & Young),Vodafone,Network Management / Administration_salary,IT Security & Infrastructure_salary,People Management_percent,IT Security & Infrastructure_percent,Microsoft SQL Server_percent,Network Management / Administration_percent,Windows NT / 2000 / XP Networking_percent,Wipro,Spring_salary,Hibernate_salary,Fidelity Investments,Tietoenator,Tavant Technologies Inc,ITC Infotech,Software Development_salary,C++ Programming Language_percent,Software Development_percent,JavaScript_percent,C Programming Language_percent,Mu Sigma,Ericsson Inc.,Deloitte,Data Analyst,Senior Business Analyst,"Business Analyst, IT",Business Analyst (Unspecified Type),Machine Learning_salary,Python_salary,Data Analysis_salary,R_salary,Statistical Analysis_salary,Natural Language Processing (NLP)_percent,Statistical Analysis_percent,Deep Learning_percent,Big Data Analytics_percent,Data Modeling_percent,Machine Learning_percent,R_percent,Data Analysis_percent,Deloitte Consulting LLP,IT Consulting_salary,Technical Analysis_salary,IT Consulting_percent,Technical Analysis_percent,Computer Sciences Corporation (CSC),Business Analysis_salary,Requirements Analysis_salary,Functional Analysis_percent,Requirements Analysis_percent,Microsoft Visio_percent,Microsoft Word_percent,NTT Data Corporation,British Telecom,Network Engineer,Technical Support Engineer,Desktop Support Engineer,Mechanical Engineer,Civil Engineer,Customer Service Representative (CSR),Information Technology (IT) Support_salary,Help Desk / Desktop Support (Tier 1)_salary,Help Desk / Desktop Support (Tier 2)_salary,Citibank,UNIX_salary,Arthur J. Gallagher & Company,"Broadridge Financial Solutions, Inc.",Genpact,Infosys BPO,"Maersk Line, Ltd.",Accountant,Data Processing_salary,Process Improvement_salary,Cisco Systems Inc,Tata Communications Ltd,Sify,Css Corp,Cisco Networking_salary,Switching and Routing_salary,Switches & Firewall Installation and Administration_salary,Network Security Management_percent,Switches & Firewall Installation and Administration_percent,Cisco Networking_percent,Telecommunications_percent,Switching and Routing_percent,IP Network_percent,TCP/IP_percent,ASP.NET Framework_salary,Microsoft SQL Server_salary,Front End Developer / Engineer,Model-view-controller (MVC)_salary,PricewaterhouseCoopers,Deloitte & Touche LLP,Information Security Analyst,Security Analyst,Information Security Manager,Network Security Engineer,Sr. Network Engineer,Network Administrator,Cyber Security_salary,Security Testing and Auditing_salary,Security Policies and Procedures_salary,Security Risk Management_salary,Security Policies and Procedures_percent,Security Risk Management_percent,Web Security & Encryption_percent,Cyber Security_percent,Security Intrusion Detection_percent,Security Testing and Auditing_percent,Penetration Testing_percent,"Visa, Inc.","Amdocs, Inc,.","Senior Project Manager, IT",Technical Project Manager,ScrumMaster_salary,Scrum_salary,JIRA_salary,Flipkart,Pramati Technologies,Microsoft India,Microsoft Corp,Walmart.com,"Groupon, Inc.",Robert Bosch Engineering and Business Solutions Limited,Danske Bank,HTML_salary,Mindtree Consulting,Atos Origin,IBM Global Services,Microsoft Active Directory_salary,"System Administrator, Windows Server",Systems Administrator,"System Administrator, Computer / Network",Systems Engineer (Computer Networking / IT),VMware ESX_salary,Virtualization_salary,"Honeywell Technology Solutions, Inc.",Sopra Group India,ScrumMaster_percent,Embedded / Real-Time / RTOS_percent
0,"₹1,568,464","₹147,706","₹87,429",₹604k,₹2m,₹3m,₹300k,₹350k,₹261k - ₹1m,₹488k - ₹2m,₹211k - ₹1m,₹426k - ₹2m,₹468k - ₹2m,₹488k - ₹2m,₹390k - ₹2m,₹574k - ₹2m,₹198k - ₹1m,₹172k - ₹992k,"Project Manager, (Unspecified Type / Gen...","₹271,844","₹283,258","₹298,220","₹288,024","₹453,521","₹600,000","₹603,862","₹1,145,610","₹1,790,524",₹407k,₹421k,₹760k,₹674k,₹198k - ₹1m,"₹389,971","₹2,565,896","₹387,213","₹384,633","₹353,442",₹1m,₹3m,₹550k,₹3m,₹2m,₹2m,₹196k - ₹623k,₹151k - ₹676k,₹239k - ₹1m,"₹701,409","₹685,768","₹668,927","₹694,497","₹747,689","₹110,000",₹814k,₹497k,₹280k,₹820k,₹492k,₹295k,₹303k,₹239k - ₹1m,₹153k - ₹721k,₹220k - ₹1m,"₹471,207","₹472,545","₹309,746","₹306,253","₹972,838","₹1,965,270.",15%,4%,-2%,4%,8%,10%,-7%,14%,-27%,25%,-61%,-62%,38%,-21%,-11%,3%,-1%,-7%,-8%,-5%,-7%,-33%,2.0,8.7,20.9,63.6,4.8,88.8,11.2,73,8,8,27,Project_Manager%2C_Software_Development,₹356k,₹613k,₹420k,₹486k - ₹2m,₹208k - ₹859k,"₹708,441","₹496,975","₹343,044",₹2m,₹2m,₹354k,"₹2,645,723","₹1,671,426","₹1,471,859","₹3,236,032",-8%,9%,8%,24%,7%,7%,-1%,-6%,-11%,-6%,-11%,0.2,₹1m,"₹827,970",₹750k,₹261k - ₹1m,₹124k - ₹777k,₹426k - ₹2m,₹301k - ₹1m,"₹449,058","₹501,143","₹596,866",₹719k,₹584k - ₹2m,₹297k - ₹2m,"₹1,628,080","₹1,662,790","₹1,452,215","₹350,093","₹284,189",6%,3%,4%,-4%,3%,-5%,-10%,₹261k - ₹1m,₹1m,"₹618,234","₹566,500",37%,11%,5%,10%,-31%,₹767k,"₹669,849","₹483,561",₹1m,₹1m,₹1m,₹1m,"₹2,045,442",1%,13%,6%,-2%,₹639k,₹398k,₹981k,₹200k - ₹947k,₹442k - ₹2m,₹279k - ₹1m,₹249k - ₹1m,"₹888,185","₹814,490","₹308,268","₹863,589","₹933,552",22%,15%,14%,11%,10%,9%,6%,-1%,₹874k,"₹899,538","₹815,787",10%,-1%,₹603k,"₹275,000","₹642,201",11%,6%,-1%,-2%,₹299k,₹159k - ₹806k,₹197k - ₹625k,₹261k - ₹1m,₹297k - ₹2m,₹151k - ₹980k,₹771k - ₹2m,₹574k - ₹2m,"₹484,862","₹350,568","₹354,547",₹460k,"₹518,813",₹274k,₹228k,₹225k,₹349k,₹430k,₹123k - ₹507k,"₹278,753","₹290,382",₹610k,₹245k,₹182k,₹380k,"₹491,702","₹342,312","₹375,755",4%,16%,3%,10%,6%,5%,-2%,"₹816,186","₹1,653,803",₹118k - ₹624k,"₹825,209",₹2m,₹159k - ₹806k,₹234k - ₹915k,₹411k - ₹3m,₹232k - ₹1m,₹390k - ₹2m,₹167k - ₹780k,₹303k - ₹1m,"₹876,228","₹808,255","₹995,250","₹968,830",21%,18%,13%,6%,3%,-2%,-15%,₹940k,₹1m,₹211k - ₹1m,₹241k - ₹936k,"₹1,237,075","₹1,191,362","₹1,222,731",₹1m,₹2m,₹2m,₹2m,₹951k,₹261k - ₹1m,₹2m,₹2m,"₹243,157",₹550k,₹393k,₹259k - ₹1m,"₹654,907",₹179k - ₹924k,₹411k - ₹3m,₹159k - ₹806k,₹488k - ₹2m,"₹782,992","₹795,630",₹2m,₹261k - ₹1m,27%,-4%
1,"₹1,568,464","₹147,706","₹87,429",₹604k,₹2m,₹3m,₹300k,₹350k,₹261k - ₹1m,₹488k - ₹2m,₹211k - ₹1m,₹426k - ₹2m,₹468k - ₹2m,₹488k - ₹2m,₹390k - ₹2m,₹574k - ₹2m,₹198k - ₹1m,₹172k - ₹992k,Software Development Manager,"₹271,844","₹283,258","₹298,220","₹288,024","₹453,521","₹600,000","₹603,862","₹1,145,610","₹1,790,524",₹407k,₹421k,₹760k,₹674k,₹198k - ₹1m,"₹389,971","₹2,565,896","₹387,213","₹384,633","₹353,442",₹1m,₹3m,₹550k,₹3m,₹2m,₹2m,₹196k - ₹623k,₹151k - ₹676k,₹239k - ₹1m,"₹701,409","₹685,768","₹668,927","₹694,497","₹747,689","₹110,000",₹814k,₹497k,₹280k,₹820k,₹492k,₹295k,₹303k,₹239k - ₹1m,₹153k - ₹721k,₹220k - ₹1m,"₹471,207","₹472,545","₹309,746","₹306,253","₹972,838","₹1,965,270.",15%,4%,-2%,4%,8%,10%,-7%,14%,-27%,25%,-61%,-62%,38%,-21%,-11%,3%,-1%,-7%,-8%,-5%,-7%,-33%,2.0,8.7,20.9,63.6,4.8,88.8,11.2,73,8,8,27,Project_Manager%2C_Software_Development,₹356k,₹613k,₹420k,₹486k - ₹2m,₹208k - ₹859k,"₹708,441","₹496,975","₹343,044",₹2m,₹2m,₹354k,"₹2,645,723","₹1,671,426","₹1,471,859","₹3,236,032",-8%,9%,8%,24%,7%,7%,-1%,-6%,-11%,-6%,-11%,0.2,₹1m,"₹827,970",₹750k,₹261k - ₹1m,₹124k - ₹777k,₹426k - ₹2m,₹301k - ₹1m,"₹449,058","₹501,143","₹596,866",₹719k,₹584k - ₹2m,₹297k - ₹2m,"₹1,628,080","₹1,662,790","₹1,452,215","₹350,093","₹284,189",6%,3%,4%,-4%,3%,-5%,-10%,₹261k - ₹1m,₹1m,"₹618,234","₹566,500",37%,11%,5%,10%,-31%,₹767k,"₹669,849","₹483,561",₹1m,₹1m,₹1m,₹1m,"₹2,045,442",1%,13%,6%,-2%,₹639k,₹398k,₹981k,₹200k - ₹947k,₹442k - ₹2m,₹279k - ₹1m,₹249k - ₹1m,"₹888,185","₹814,490","₹308,268","₹863,589","₹933,552",22%,15%,14%,11%,10%,9%,6%,-1%,₹874k,"₹899,538","₹815,787",10%,-1%,₹603k,"₹275,000","₹642,201",11%,6%,-1%,-2%,₹299k,₹159k - ₹806k,₹197k - ₹625k,₹261k - ₹1m,₹297k - ₹2m,₹151k - ₹980k,₹771k - ₹2m,₹574k - ₹2m,"₹484,862","₹350,568","₹354,547",₹460k,"₹518,813",₹274k,₹228k,₹225k,₹349k,₹430k,₹123k - ₹507k,"₹278,753","₹290,382",₹610k,₹245k,₹182k,₹380k,"₹491,702","₹342,312","₹375,755",4%,16%,3%,10%,6%,5%,-2%,"₹816,186","₹1,653,803",₹118k - ₹624k,"₹825,209",₹2m,₹159k - ₹806k,₹234k - ₹915k,₹411k - ₹3m,₹232k - ₹1m,₹390k - ₹2m,₹167k - ₹780k,₹303k - ₹1m,"₹876,228","₹808,255","₹995,250","₹968,830",21%,18%,13%,6%,3%,-2%,-15%,₹940k,₹1m,₹211k - ₹1m,₹241k - ₹936k,"₹1,237,075","₹1,191,362","₹1,222,731",₹1m,₹2m,₹2m,₹2m,₹951k,₹261k - ₹1m,₹2m,₹2m,"₹243,157",₹550k,₹393k,₹259k - ₹1m,"₹654,907",₹179k - ₹924k,₹411k - ₹3m,₹159k - ₹806k,₹488k - ₹2m,"₹782,992","₹795,630",₹2m,₹261k - ₹1m,27%,-4%
2,"₹1,568,464","₹147,706","₹87,429",₹604k,₹2m,₹3m,₹300k,₹350k,₹261k - ₹1m,₹488k - ₹2m,₹211k - ₹1m,₹426k - ₹2m,₹468k - ₹2m,₹488k - ₹2m,₹390k - ₹2m,₹574k - ₹2m,₹198k - ₹1m,₹172k - ₹992k,Agile Coach,"₹271,844","₹283,258","₹298,220","₹288,024","₹453,521","₹600,000","₹603,862","₹1,145,610","₹1,790,524",₹407k,₹421k,₹760k,₹674k,₹198k - ₹1m,"₹389,971","₹2,565,896","₹387,213","₹384,633","₹353,442",₹1m,₹3m,₹550k,₹3m,₹2m,₹2m,₹196k - ₹623k,₹151k - ₹676k,₹239k - ₹1m,"₹701,409","₹685,768","₹668,927","₹694,497","₹747,689","₹110,000",₹814k,₹497k,₹280k,₹820k,₹492k,₹295k,₹303k,₹239k - ₹1m,₹153k - ₹721k,₹220k - ₹1m,"₹471,207","₹472,545","₹309,746","₹306,253","₹972,838","₹1,965,270.",15%,4%,-2%,4%,8%,10%,-7%,14%,-27%,25%,-61%,-62%,38%,-21%,-11%,3%,-1%,-7%,-8%,-5%,-7%,-33%,2.0,8.7,20.9,63.6,4.8,88.8,11.2,73,8,8,27,Project_Manager%2C_Software_Development,₹356k,₹613k,₹420k,₹486k - ₹2m,₹208k - ₹859k,"₹708,441","₹496,975","₹343,044",₹2m,₹2m,₹354k,"₹2,645,723","₹1,671,426","₹1,471,859","₹3,236,032",-8%,9%,8%,24%,7%,7%,-1%,-6%,-11%,-6%,-11%,0.2,₹1m,"₹827,970",₹750k,₹261k - ₹1m,₹124k - ₹777k,₹426k - ₹2m,₹301k - ₹1m,"₹449,058","₹501,143","₹596,866",₹719k,₹584k - ₹2m,₹297k - ₹2m,"₹1,628,080","₹1,662,790","₹1,452,215","₹350,093","₹284,189",6%,3%,4%,-4%,3%,-5%,-10%,₹261k - ₹1m,₹1m,"₹618,234","₹566,500",37%,11%,5%,10%,-31%,₹767k,"₹669,849","₹483,561",₹1m,₹1m,₹1m,₹1m,"₹2,045,442",1%,13%,6%,-2%,₹639k,₹398k,₹981k,₹200k - ₹947k,₹442k - ₹2m,₹279k - ₹1m,₹249k - ₹1m,"₹888,185","₹814,490","₹308,268","₹863,589","₹933,552",22%,15%,14%,11%,10%,9%,6%,-1%,₹874k,"₹899,538","₹815,787",10%,-1%,₹603k,"₹275,000","₹642,201",11%,6%,-1%,-2%,₹299k,₹159k - ₹806k,₹197k - ₹625k,₹261k - ₹1m,₹297k - ₹2m,₹151k - ₹980k,₹771k - ₹2m,₹574k - ₹2m,"₹484,862","₹350,568","₹354,547",₹460k,"₹518,813",₹274k,₹228k,₹225k,₹349k,₹430k,₹123k - ₹507k,"₹278,753","₹290,382",₹610k,₹245k,₹182k,₹380k,"₹491,702","₹342,312","₹375,755",4%,16%,3%,10%,6%,5%,-2%,"₹816,186","₹1,653,803",₹118k - ₹624k,"₹825,209",₹2m,₹159k - ₹806k,₹234k - ₹915k,₹411k - ₹3m,₹232k - ₹1m,₹390k - ₹2m,₹167k - ₹780k,₹303k - ₹1m,"₹876,228","₹808,255","₹995,250","₹968,830",21%,18%,13%,6%,3%,-2%,-15%,₹940k,₹1m,₹211k - ₹1m,₹241k - ₹936k,"₹1,237,075","₹1,191,362","₹1,222,731",₹1m,₹2m,₹2m,₹2m,₹951k,₹261k - ₹1m,₹2m,₹2m,"₹243,157",₹550k,₹393k,₹259k - ₹1m,"₹654,907",₹179k - ₹924k,₹411k - ₹3m,₹159k - ₹806k,₹488k - ₹2m,"₹782,992","₹795,630",₹2m,₹261k - ₹1m,27%,-4%
